chrom,chrom_len,start_pos,end_pos,rec_prob
1,274287863,1,455096,0.00455096
1,274287863,455097,477400,2.2303999999999987e-4
1,274287863,477401,1208216,0.00730816
1,274287863,1208217,1684346,0.004761299999999998
1,274287863,1684347,2292374,0.006080280000000004
1,274287863,2292375,2316325,2.3950999999999834e-4
1,274287863,2316326,2330465,1.413999999999964e-4
1,274287863,2330466,2383908,5.344300000000024e-4
1,274287863,2383909,2585100,0.002011920000000004
1,274287863,2585101,2676736,9.16359999999998e-4
1,274287863,2676737,2754517,7.778099999999968e-4
1,274287863,2754518,2908964,0.0015444700000000026
1,274287863,2908965,3032017,0.0012305300000000005
1,274287863,3032018,3073574,4.1556999999999705e-4
1,274287863,3073575,3463729,0.0039015500000000036
1,274287863,3463730,3501012,3.728299999999976e-4
1,274287863,3501013,3669945,0.0016893299999999958
1,274287863,3669946,3690528,2.0583000000000407e-4
1,274287863,3690529,3812495,0.001219670000000006
1,274287863,3812496,3912196,9.970099999999926e-4
1,274287863,3912197,4213511,0.003013149999999999
1,274287863,4213512,4365512,0.0015200100000000022
1,274287863,4365513,4391118,2.5605999999999546e-4
1,274287863,4391119,4509299,0.0011818100000000123
1,274287863,4509300,4538447,2.914799999999898e-4
1,274287863,4538448,4996521,0.004580740000000007
1,274287863,4996522,5092196,9.567499999999993e-4
1,274287863,5092197,5194780,0.0010258399999999931
1,274287863,5194781,5252209,5.742899999999981e-4
1,274287863,5252210,5370554,0.0011834500000000095
1,274287863,5370555,5434442,6.388799999999945e-4
1,274287863,5434443,5474620,4.017799999999974e-4
1,274287863,5474621,5565075,9.04550000000004e-4
1,274287863,5565076,5691907,0.0012683199999999964
1,274287863,5691908,5744273,5.236600000000022e-4
1,274287863,5744274,5754611,1.0338000000000014e-4
1,274287863,5754612,5770458,1.5847000000000083e-4
1,274287863,5770459,5858089,8.763099999999982e-4
1,274287863,5858090,6069393,0.0021130400000000035
1,274287863,6069394,6111352,4.195900000000044e-4
1,274287863,6111353,6125550,1.4197999999999295e-4
1,274287863,6125551,6166403,4.0853000000000417e-4
1,274287863,6166404,6204660,3.825699999999918e-4
1,274287863,6204661,6241400,3.6740000000000383e-4
1,274287863,6241401,6260450,1.9049999999999623e-4
1,274287863,6260451,6293068,3.2618000000000924e-4
1,274287863,6293069,6336162,4.309399999999908e-4
1,274287863,6336163,6391784,5.5622000000001e-4
1,274287863,6391785,6472959,8.1175e-4
1,274287863,6472960,6495295,2.233599999999919e-4
1,274287863,6495296,6532769,3.747399999999984e-4
1,274287863,6532770,6591689,5.891999999999981e-4
1,274287863,6591690,6633776,4.2087000000000374e-4
1,274287863,6633777,6662020,2.824400000000088e-4
1,274287863,6662021,6679400,1.7380000000000173e-4
1,274287863,6679401,6702897,2.34970000000001e-4
1,274287863,6702898,6732845,2.9947999999999086e-4
1,274287863,6732846,6825249,9.24040000000001e-4
1,274287863,6825250,6849364,2.4114999999999553e-4
1,274287863,6849365,6864280,1.4916000000000929e-4
1,274287863,6864281,6978760,0.0011448000000000014
1,274287863,6978761,7014234,3.547399999999923e-4
1,274287863,7014235,7018017,3.7830000000002584e-5
1,274287863,7018018,7067395,4.937799999999992e-4
1,274287863,7067396,7092433,2.503799999999945e-4
1,274287863,7092434,7245296,0.001528630000000003
1,274287863,7245297,7266468,2.1171999999999858e-4
1,274287863,7266469,7402285,0.0013581700000000058
1,274287863,7402286,7423138,2.0852999999999844e-4
1,274287863,7423139,7467812,4.46740000000001e-4
1,274287863,7467813,7492224,2.4412000000000045e-4
1,274287863,7492225,7525648,3.3423999999999954e-4
1,274287863,7525649,7560502,3.485399999999944e-4
1,274287863,7560503,7589521,2.901900000000096e-4
1,274287863,7589522,7615171,2.5649999999999284e-4
1,274287863,7615172,7630133,1.4962000000000308e-4
1,274287863,7630134,7689313,5.918000000000034e-4
1,274287863,7689314,7722553,3.323999999999966e-4
1,274287863,7722554,7752337,2.9783999999999367e-4
1,274287863,7752338,7855602,0.00103265000000001
1,274287863,7855603,7887486,3.188400000000008e-4
1,274287863,7887487,8040507,0.0015302099999999902
1,274287863,8040508,8092879,5.237200000000053e-4
1,274287863,8092880,8236852,0.0014397300000000002
1,274287863,8236853,8258769,2.1916999999999076e-4
1,274287863,8258770,8339120,8.035100000000073e-4
1,274287863,8339121,8382365,4.324500000000009e-4
1,274287863,8382366,8504144,0.0012177899999999964
1,274287863,8504145,8537066,3.292199999999912e-4
1,274287863,8537067,8777250,0.002401840000000016
1,274287863,8777251,8931065,0.001538150000000002
1,274287863,8931066,8970719,3.965400000000008e-4
1,274287863,8970720,8992903,2.2184000000000093e-4
1,274287863,8992904,9044222,5.131899999999828e-4
1,274287863,9044223,9059586,1.5364000000001043e-4
1,274287863,9059587,9066284,6.697999999999427e-5
1,274287863,9066285,9166650,0.0010036600000000173
1,274287863,9166651,9256560,8.99099999999986e-4
1,274287863,9256561,9725288,0.004687280000000016
1,274287863,9725289,9926429,0.0020114099999999913
1,274287863,9926430,9963125,3.669599999999995e-4
1,274287863,9963126,9972030,8.90499999999933e-5
1,274287863,9972031,10181640,0.0020961000000000035
1,274287863,10181641,10206931,2.5291000000000896e-4
1,274287863,10206932,10330993,0.001240619999999984
1,274287863,10330994,10529704,0.001987110000000014
1,274287863,10529705,10551670,2.1965999999998265e-4
1,274287863,10551671,10821259,0.0026958900000000063
1,274287863,10821260,10880316,5.905700000000125e-4
1,274287863,10880317,10911742,3.1425999999999676e-4
1,274287863,10911743,10923369,1.1626999999998777e-4
1,274287863,10923370,11234275,0.0031090600000000107
1,274287863,11234276,11320969,8.669399999999966e-4
